Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2019-12-02,12137.05,12137.15,12023.7,12048.2,720945335,23113.18,Monday,December,2019,,,,
2019-12-03,12067.65,12068.6,11956.4,11994.2,605789334,18203.76,Tuesday,December,2019,12048.2,-0.4481997310801613,-,- 0.45%
2019-12-04,11969.95,12054.7,11935.3,12043.2,747193818,22132.83,Wednesday,December,2019,11994.2,0.40853078988177616,+,+ 0.41%
2019-12-05,12071.25,12081.2,11998.75,12018.4,562228745,19589.81,Thursday,December,2019,12043.2,-0.20592533545902325,-,- 0.21%
2019-12-06,12047.35,12057.05,11888.85,11921.5,609221205,18245.49,Friday,December,2019,12018.4,-0.8062637289489419,-,- 0.81%
2019-12-09,11939.1,11981.95,11888.05,11937.5,599115748,16672.87,Monday,December,2019,11921.5,0.1342112989137273,+,+ 0.13%
2019-12-10,11950.5,11953.2,11844.7,11856.8,650219487,16514.63,Tuesday,December,2019,11937.5,-0.6760209424083831,-,- 0.68%
2019-12-11,11867.35,11923.2,11832.3,11910.15,997655048,18760.57,Wednesday,December,2019,11856.8,0.44995276971864556,+,+ 0.45%
2019-12-12,11944.3,12005.5,11934.0,11971.8,752617138,18401.22,Thursday,December,2019,11910.15,0.5176257225979491,+,+ 0.52%
2019-12-13,12026.4,12098.85,12023.6,12086.7,597712516,20626.8,Friday,December,2019,11971.8,0.9597554252493482,+,+ 0.96%
2019-12-16,12131.35,12134.65,12046.3,12053.95,437703921,16110.34,Monday,December,2019,12086.7,-0.2709589879785218,-,- 0.27%
2019-12-17,12082.45,12182.75,12070.35,12165.0,499585789,20968.79,Tuesday,December,2019,12053.95,0.9212747688516981,+,+ 0.92%
2019-12-18,12197.0,12237.7,12163.45,12221.65,518854651,22341.06,Wednesday,December,2019,12165.0,0.46568023016851323,+,+ 0.47%
2019-12-19,12223.4,12268.35,12191.15,12259.7,623049839,19761.9,Thursday,December,2019,12221.65,0.3113327578518538,+,+ 0.31%
2019-12-20,12266.45,12293.9,12252.75,12271.8,810676090,25750.24,Friday,December,2019,12259.7,0.09869735801037989,+,+ 0.10%
2019-12-23,12235.45,12287.15,12213.25,12262.75,604782354,18078.23,Monday,December,2019,12271.8,-0.07374631268435985,-,- 0.07%
